,Time,Bath Bedroom Door contact,Bathroom Motion motion,Living Room Motion motion,Main door temperature,Living Bedroom Door temperature,Bath Bedroom Door temperature,Living Bedroom Door contact,Main door contact,Kitchen Motion motion,bedroom,kitchen,bathroom
4,0,0,0,0,63,72,70,0,0,0,0,0,0
4,5,0,0,0,63,72,70,0,0,0,0,0,0
4,10,0,0,0,63,72,70,0,0,0,0,0,0
4,15,0,0,0,63,72,70,0,0,0,0,0,0
4,20,0,0,0,63,72,70,0,0,0,0,0,0
4,25,0,0,0,63,72,70,0,0,0,0,0,0
4,30,0,0,0,63,72,70,0,0,0,0,0,0
4,35,0,0,0,63,72,70,0,0,0,0,0,0
4,40,0,0,0,63,72,70,0,0,0,0,0,0
4,45,0,0,0,63,72,70,0,0,0,0,0,0
4,50,0,0,0,63,72,70,0,0,0,0,0,0
4,55,0,0,0,63,72,70,0,0,0,0,0,0
4,60,0,0,0,63,72,70,0,0,0,0,0,0
4,65,0,0,0,63,72,70,0,0,0,0,0,0
4,70,0,0,0,63,72,70,0,0,0,0,0,0
4,75,0,0,0,63,72,70,0,0,0,0,0,0
4,80,0,0,0,63,72,70,0,0,0,0,0,0
4,85,0,0,0,63,72,70,0,0,0,0,0,0
4,90,0,0,0,63,72,70,0,0,0,0,0,0
4,95,0,0,0,63,72,70,0,0,0,0,0,0
4,100,0,0,0,63,72,70,0,0,0,0,0,0
4,105,0,0,0,63,72,70,0,0,0,0,0,0
4,110,0,0,0,63,72,70,0,0,0,0,0,0
4,115,0,0,0,63,72,70,0,0,0,0,0,0
4,120,0,0,0,63,72,70,0,0,0,0,0,0
4,125,0,0,0,63,72,70,0,0,0,0,0,0
4,130,0,0,0,63,72,70,0,0,0,0,0,0
4,135,0,0,0,63,72,70,0,0,0,0,0,0
4,140,0,0,0,63,72,70,0,0,0,0,0,0
4,145,0,0,0,63,72,70,0,0,0,0,0,0
4,150,0,0,0,63,72,70,0,0,0,0,0,0
4,155,0,0,0,63,72,70,0,0,0,0,0,0
4,160,0,0,0,63,72,70,0,0,0,0,0,0
4,165,0,0,0,63,72,70,0,0,0,0,0,0
4,170,0,0,0,63,72,70,0,0,0,0,0,0
4,175,0,0,0,63,72,70,0,0,0,0,0,0
4,180,0,0,0,63,72,70,0,0,0,0,0,0
4,185,0,0,0,63,72,70,0,0,0,0,0,0
4,190,0,0,0,63,72,70,0,0,0,0,0,0
4,195,0,0,0,63,72,70,0,0,0,0,0,0
4,200,0,0,0,63,72,70,0,0,0,0,0,0
4,205,0,0,0,63,72,70,0,0,0,0,0,0
4,210,0,0,0,63,72,70,0,0,0,0,0,0
4,215,0,0,0,63,72,70,0,0,0,0,0,0
4,220,0,0,0,63,72,70,0,0,0,0,0,0
4,225,0,0,0,63,72,70,0,0,0,0,0,0
